Review_Stage;Database;Title;Author;Year;DOI;DOI_Link;Abstract
NOT_RELEVANT;IEEE Xplore;MCQGen: A Large Language Model-Driven MCQ Generator for Personalized Learning;Hang, Ching Nam and Wei Tan, Chee and Yu, Pei-Duo;2024;10.1109/ACCESS.2024.3420709;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Plain Template Insertion: Korean-Prompt-Based Engineering for Few-Shot Learners;Seo, Jaehyung and Moon, Hyeonseok and Lee, Chanhee and Eo, Sugyeong and Park, Chanjun and Kim, Jihoon and Chun, Changwoo and Lim, Heuiseok;2022;10.1109/ACCESS.2022.3213027;NOT_FOUND;NOT_FOUND
MAYBE_RELEVANT;IEEE Xplore;Harnessing the Power of Metadata for Enhanced Question Retrieval in Community Question Answering;Ghasemi, Shima and Shakery, Azadeh;2024;10.1109/ACCESS.2024.3395449;NOT_FOUND;NOT_FOUND
MAYBE_RELEVANT;IEEE Xplore;Retrieval-Augmented Response Generation for Knowledge-Grounded Conversation in the Wild;Ahn, Yeonchan and Lee, Sang-Goo and Shim, Junho and Park, Jaehui;2022;10.1109/ACCESS.2022.3228964;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Autonomous Robots and the SP Theory of Intelligence;Wolff, James Gerard;2014;10.1109/ACCESS.2014.2382753;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Effective Natural Language Processing and Interpretable Machine Learning for Structuring CT Liver-Tumor Reports;Chuang, Yi-Hsuan and Su, Ja-Hwung and Han, Ding-Hong and Liao, Yi-Wen and Lee, Yeong-Chyi and Cheng, Yu-Fan and Hong, Tzung-Pei and Li, Katherine Shu-Min and Ou, Hsin-You and Lu, Yi and Wang, Chih-Chi;2022;10.1109/ACCESS.2022.3218646;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;WirelessLLM: Empowering Large Language Models Towards Wireless Intelligence;Shao, Jiawei and Tong, Jingwen and Wu, Qiong and Guo, Wei and Li, Zijian and Lin, Zehong and Zhang, Jun;2024;10.23919/JCIN.2024.10582827;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Document-Level Text Classification Using Single-Layer Multisize Filters Convolutional Neural Network;Akhter, Muhammad Pervez and Jiangbin, Zheng and Naqvi, Irfan Raza and Abdelmajeed, Mohammed and Mehmood, Atif and Sadiq, Muhammad Tariq;2020;10.1109/ACCESS.2020.2976744;NOT_FOUND;NOT_FOUND
MAYBE_RELEVANT;IEEE Xplore;An Innovative Solution to Design Problems: Applying the Chain-of-Thought Technique to Integrate LLM-based Agents with Concept Generation Methods;Ge, Shijun and Sun, Yuanbo and Cui, Yin and Wei, Dapeng;2024;10.1109/ACCESS.2024.3494054;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Knowledge Based Deep Inception Model for Web Page Classification;Gupta, Amit and Bhatia, Rajesh;2021;10.13052/jwe1540-9589.2075;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;A History and Theory of Textual Event Detection and Recognition;Chen, Yanping and Ding, Zehua and Zheng, Qinghua and Qin, Yongbin and Huang, Ruizhang and Shah, Nazaraf;2020;10.1109/ACCESS.2020.3034907;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;An Eclectic Approach for Enhancing Language Models Through Rich Embedding Features;Aldana-Bobadilla, Edwin and Sosa-Sosa, Victor Jesus and Molina-Villegas, Alejandro and Gazca-Hernandez, Karina and Olivas, Jose Angel;2024;10.1109/ACCESS.2024.3422971;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Enhancing Semantic Code Search With Deep Graph Matching;Bibi, Nazia and Maqbool, Ayesha and Rana, Tauseef and Afzal, Farkhanda and Akgül, Ali and Eldin, Sayed M.;2023;10.1109/ACCESS.2023.3263878;NOT_FOUND;NOT_FOUND
MAYBE_RELEVANT;IEEE Xplore;RDguru: A Conversational Intelligent Agent for Rare Diseases;Yang, Jian and Shu, Liqi and Duan, Huilong and Li, Haomin;2024;10.1109/JBHI.2024.3464555;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Architectural Synergies in Bi-Modal and Bi-Contrastive Learning;Gu, Yujia and Liu, Brian and Zhang, Tianlong and Sha, Xinye and Chen, Shiyong;2024;10.1109/ACCESS.2024.3457586;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Classical Arabic Named Entity Recognition Using Variant Deep Neural Network Architectures and BERT;Alsaaran, Norah and Alrabiah, Maha;2021;10.1109/ACCESS.2021.3092261;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Urdu Wikification and Its Application in Urdu News Recommendation System;Kanwal, Safia and Malik, Muhammad Kamran and Nawaz, Zubair and Mehmood, Khawar;2022;10.1109/ACCESS.2022.3208666;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Enhancing Parameter Efficiency in Model Inference Using an Ultralight Inter-Transformer Linear Structure;Shi, Haoxiang and Sakai, Tetsuya;2024;10.1109/ACCESS.2024.3378518;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Ground Camera Image and Large-Scale 3-D Image-Based Point Cloud Registration Based on Learning Domain Invariant Feature Descriptors;Liu, Weiquan and Lai, Baiqi and Wang, Cheng and Cai, Guorong and Su, Yanfei and Bian, Xuesheng and Li, Yongchuan and Chen, Shuting and Li, Jonathan;2021;10.1109/JSTARS.2020.3035359;NOT_FOUND;NOT_FOUND
MAYBE_RELEVANT;IEEE Xplore;Entity Linking: An Issue to Extract Corresponding Entity With Knowledge Base;Wu, Gongqing and He, Ying and Hu, Xuegang;2018;10.1109/ACCESS.2017.2787787;NOT_FOUND;NOT_FOUND
MAYBE_RELEVANT;IEEE Xplore;Enhanced Natural Language Interface for Web-Based Information Retrieval;Bai, Tian and Ge, Yan and Guo, Shuyu and Zhang, Zhenting and Gong, Leiguang;2021;10.1109/ACCESS.2020.3048164;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Short Text Understanding Combining Text Conceptualization and Transformer Embedding;Li, Jun and Huang, Guimin and Chen, Jianheng and Wang, Yabing;2019;10.1109/ACCESS.2019.2938303;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;An Analytical Analysis of Text Stemming Methodologies in Information Retrieval and Natural Language Processing Systems;Jabbar, Abdul and Iqbal, Sajid and Tamimy, Manzoor Ilahi and Rehman, Amjad and Bahaj, Saeed Ali and Saba, Tanzila;2023;10.1109/ACCESS.2023.3332710;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Visual Analysis of Citation Context-Based Article Influence Ranking;Shi, Chen and Wang, Haoxuan and Chen, Binjie and Liu, Yuhua and Zhou, Zhiguang;2019;10.1109/ACCESS.2019.2932051;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Geospatial Big Data: Survey and Challenges;Wu, Jiayang and Gan, Wensheng and Chao, Han-Chieh and Yu, Philip S.;2024;10.1109/JSTARS.2024.3438376;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Consumer Document Analytical Accelerator Hardware;Radhakrishnan, Aswani and Mahapatra, Dibyasha and James, Alex;2023;10.1109/ACCESS.2023.3237463;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Exploring Topic Coherence With PCC-LDA and BERT for Contextual Word Generation;Rachamadugu, Sandeep Kumar and Pushphavathi, T. P. and Bhatia Khan, Surbhi and Alojail, Mohammad;2024;10.1109/ACCESS.2024.3477992;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;A Novel Joint Extraction Model for Entity Relations Using Interactive Encoding and Visual Attention;Yu, Youren and Zhang, Yangsen and Liu, Xueyang and Zhu, Siwen;2023;10.1109/ACCESS.2023.3335623;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;An Overview of Data Extraction From Invoices;Saout, Thomas and Lardeux, Frédéric and Saubion, Frédéric;2024;10.1109/ACCESS.2024.3360528;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Evaluating the Effectiveness of GPT Large Language Model for News Classification in the IPTC News Ontology;Fatemi, Bahareh and Rabbi, Fazle and Opdahl, Andreas L.;2023;10.1109/ACCESS.2023.3345414;NOT_FOUND;NOT_FOUND
MAYBE_RELEVANT;IEEE Xplore;Automated Question-Answering for Interactive Decision Support in Operations & Maintenance of Wind Turbines;Chatterjee, Joyjit and Dethlefs, Nina;2022;10.1109/ACCESS.2022.3197167;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;An Optimized LSTM-Based Augmented Language Model (FLSTM-ALM) Using Fox Algorithm for Automatic Essay Scoring Prediction;Chassab, Ridha Hussein and Zakaria, Lailatul Qadri and Tiun, Sabrina;2024;10.1109/ACCESS.2024.3381619;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Research on Topic Recognition of Network Sensitive Information Based on SW-LDA Model;Xu, Guixian and Wu, Xu and Yao, Haishen and Li, Fan and Yu, Ziheng;2019;10.1109/ACCESS.2019.2897475;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Improving Pseudo-Relevance Feedback With Neural Network-Based Word Representations;Xu, Bo and Lin, Hongfei and Lin, Yuan and Yang, Liang and Xu, Kan;2018;10.1109/ACCESS.2018.2876425;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;A Novel Class-Center Vector Model for Text Classification Using Dependencies and a Semantic Dictionary;Zhu, Xinhua and Xu, Qingting and Chen, Yishan and Chen, Hongchao and Wu, Tianjun;2020;10.1109/ACCESS.2019.2954106;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Collocation Extraction Using Web Feedback Data;Lin, Jianfang and Li, Sheng and Cai, Yuhan;2009;NOT_FOUND;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;ANEC: An Amharic Named Entity Corpus and Transformer Based Recognizer;Jibril, Ebrahim Chekol and Tantuğ, A. Cüneyd;2023;10.1109/ACCESS.2023.3243468;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Large Scale Category-Structured Image Retrieval for Object Identification Through Supervised Learning of CNN and SURF-Based Matching;Li, Xiaoqing and Yang, Jiansheng and Ma, Jinwen;2020;10.1109/ACCESS.2020.2982560;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Attention Retrieval Model for Entity Relation Extraction From Biological Literature;Srivastava, Prashant and Bej, Saptarshi and Schultz, Kristian and Yordanova, Kristina and Wolkenhauer, Olaf;2022;10.1109/ACCESS.2022.3154820;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;READSUM: Retrieval-Augmented Adaptive Transformer for Source Code Summarization;Choi, Yunseok and Na, Cheolwon and Kim, Hyojun and Lee, Jee-Hyong;2023;10.1109/ACCESS.2023.3271992;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Graph-Based Text Representation and Matching: A Review of the State of the Art and Future Challenges;Osman, Ahmed Hamza and Barukub, Omar Mohammed;2020;10.1109/ACCESS.2020.2993191;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;VB-PTC: Visual Block Multi-Record Text Extraction Based on Sensor Network Page Type Conversion;Gong, Jibing and Zhang, Hekai and Du, Weixia and Li, Huanhuan and Wen, Hongnian;2020;10.1109/ACCESS.2020.3024194;NOT_FOUND;NOT_FOUND
MAYBE_RELEVANT;IEEE Xplore;A Review of Question Answering Systems;Ojokoh, Bolanle and Adebisi, Emmanuel;2018;10.13052/jwe1540-9589.1785;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;A Non-Exclusive Multi-Class Convolutional Neural Network for the Classification of Functional Requirements in AUTOSAR Software Requirement Specification Text;Jp, Sanjanasri and Menon, Vijay Krishna and Soman, KP and Ojha, Atul K. R.;2022;10.1109/ACCESS.2022.3217752;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;A Study of the Effects of Stemming Strategies on Arabic Document Classification;Alhaj, Yousif A. and Xiang, Jianwen and Zhao, Dongdong and Al-Qaness, Mohammed A. A. and Abd Elaziz, Mohamed and Dahou, Abdelghani;2019;10.1109/ACCESS.2019.2903331;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;FoleyGAN: Visually Guided Generative Adversarial Network-Based Synchronous Sound Generation in Silent Videos;Ghose, Sanchita and Prevost, John J.;2023;10.1109/TMM.2022.3177894;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;BaNeP: An End-to-End Neural Network Based Model for Bangla Parts-of-Speech Tagging;Ovi, Jesan Ahammed and Islam, Md. Ashraful and Karim, Md. Rezaul;2022;10.1109/ACCESS.2022.3208269;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;On the Effectiveness of Pre-Trained Language Models for Legal Natural Language Processing: An Empirical Study;Song, Dezhao and Gao, Sally and He, Baosheng and Schilder, Frank;2022;10.1109/ACCESS.2022.3190408;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Transformer-Based Discriminative and Strong Representation Deep Hashing for Cross-Modal Retrieval;Zhou, Suqing and Han, Yu and Chen, Ning and Huang, Siyu and Igorevich, Kostromitin Konstantin and Luo, Jia and Zhang, Peiying;2023;10.1109/ACCESS.2023.3339581;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;MediGPT: Exploring Potentials of Conventional and Large Language Models on Medical Data;Abu Tareq Rony, Mohammad and Shariful Islam, Mohammad and Sultan, Tipu and Alshathri, Samah and El-Shafai, Walid;2024;10.1109/ACCESS.2024.3428918;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;MPSC: A Multiple-Perspective Semantics-Crossover Model for Matching Sentences;Peng, Dunlu and Wu, Shaohong and Liu, Cong;2019;10.1109/ACCESS.2019.2915937;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;A Review of the Analytics Techniques for an Efficient Management of Online Forums: An Architecture Proposal;Peral, Jesús and Ferrández, Antonio and Mora, Higinio and Gil, David and Kauffmann, Erick;2019;10.1109/ACCESS.2019.2892987;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Grounded Vocabulary for Image Retrieval Using a Modified Multi-Generator Generative Adversarial Network;Kim, Kuekyeng and Park, Chanjun and Seo, Jaehyung and Lim, Heuiseok;2021;10.1109/ACCESS.2021.3122547;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;A Semantic Based Approach for Topic Evaluation in Information Filtering;Xu, Yue and Nguyen, Hanh and Li, Yuefeng;2020;10.1109/ACCESS.2020.2985079;NOT_FOUND;NOT_FOUND
MAYBE_RELEVANT;IEEE Xplore;Medical Information Extraction With NLP-Powered QABots: A Real-World Scenario;Crema, Claudio and Verde, Federico and Tiraboschi, Pietro and Marra, Camillo and Arighi, Andrea and Fostinelli, Silvia and Giuffré, Guido Maria and Maschio, Vera Pacoova Dal and L'Abbate, Federica and Solca, Federica and Poletti, Barbara and Silani, Vincenzo and Rotondo, Emanuela and Borracci, Vittoria and Vimercati, Roberto and Crepaldi, Valeria and Inguscio, Emanuela and Filippi, Massimo and Caso, Francesca and Rosati, Alessandra Maria and Quaranta, Davide and Binetti, Giuliano and Pagnoni, Ilaria and Morreale, Manuela and Burgio, Francesca and Stanzani-Maserati, Michelangelo and Capellari, Sabina and Pardini, Matteo and Girtler, Nicola and Piras, Federica and Piras, Fabrizio and Lalli, Stefania and Perdixi, Elena and Lombardi, Gemma and Tella, Sonia Di and Costa, Alfredo and Capelli, Marco and Fundarò, Cira and Manera, Marina and Muscio, Cristina and Pellencin, Elisa and Lodi, Raffaele and Tagliavini, Fabrizio and Redolfi, Alberto;2024;10.1109/JBHI.2024.3450118;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Case based reasoning in conflict negotiation in concurrent engineering;Xu, Wensheng and Xiong, Guangleng and Gao, Feng and Zhang, Xinfang;1999;NOT_FOUND;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Mapping Bug Reports to Relevant Source Code Files Based on the Vector Space Model and Word Embedding;Liu, Guangliang and Lu, Yang and Shi, Ke and Chang, Jingfei and Wei, Xing;2019;10.1109/ACCESS.2019.2922686;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;ADAGENT: Anomaly Detection Agent With Multimodal Large Models in Adverse Environments;Zhang, Miao and Shen, Yiqing and Yin, Jun and Lu, Shuai and Wang, Xueqian;2024;10.1109/ACCESS.2024.3480250;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Impact of Stemming and Word Embedding on Deep Learning-Based Arabic Text Categorization;Almuzaini, Huda Abdulrahman and Azmi, Aqil M.;2020;10.1109/ACCESS.2020.3009217;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Face Detection in Security Monitoring Based on Artificial Intelligence Video Retrieval Technology;Dong, Zuolin and Wei, Jiahong and Chen, Xiaoyu and Zheng, Pengfei;2020;10.1109/ACCESS.2020.2982779;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;A Deep Learning Approach for Robust Detection of Bots in Twitter Using Transformers;Martín-Gutiérrez, David and Hernández-Peñaloza, Gustavo and Hernández, Alberto Belmonte and Lozano-Diez, Alicia and Álvarez, Federico;2021;10.1109/ACCESS.2021.3068659;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;An Empirical Study on Compliance with Ranking Transparency in the Software Documentation of EU Online Platforms;Sovrano, Francesco and Lognoul, Michaël and Bacchelli, Alberto;2024;NOT_FOUND;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Transfer Learning for Arabic Named Entity Recognition With Deep Neural Networks;Al-Smadi, Mohammad and Al-Zboon, Saad and Jararweh, Yaser and Juola, Patrick;2020;10.1109/ACCESS.2020.2973319;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Automatic Methods and Neural Networks in Arabic Texts Diacritization: A Comprehensive Survey;Almanea, Manar M.;2021;10.1109/ACCESS.2021.3122977;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Make It Directly: Event Extraction Based on Tree-LSTM and Bi-GRU;Yu, Wentao and Yi, Mianzhu and Huang, Xiaohui and Yi, Xiaoyu and Yuan, Qingjun;2020;10.1109/ACCESS.2020.2965964;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;A Survey of Person Name Disambiguation on the Web;Delgado, Agustín D. and Montalvo, Soto and Martínez Unanue, Raquel and Fresno, Víctor;2018;10.1109/ACCESS.2018.2874891;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Extending Embedding Representation by Incorporating Latent Relations;Yang, Gao and Wenbo, Wang and Qian, Liu and Heyan, Huang and Li, Yuefeng;2018;10.1109/ACCESS.2018.2866531;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Leveraging the Synergy of IPv6, Generative AI, and Web Engineering to Create a Big Data-Driven Education Platform;Yongli, Gao and Qi, Dong and Zhipeng, Chen;2024;10.13052/jwe1540-9589.2321;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;A Bootstrapping Approach With CRF and Deep Learning Models for Improving the Biomedical Named Entity Recognition in Multi-Domains;Kim, Juae and Ko, Youngjoong and Seo, Jungyun;2019;10.1109/ACCESS.2019.2914168;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Improving Ranking Using Hybrid Custom Embedding Models on Persian Web;Bostan, Shekoofe and Zareh Bidoki, Ali Mohammad and Pajoohan, Mohammad-Reza;2023;10.13052/jwe1540-9589.2253;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Optimizing Satellite-Based Latent Heating Rate Profiling Using a Convolutional Neural Network Heating (CNNH) Algorithm;Zhao, Hongwei and Yang, Shuping and Wu, Qiong and Chen, Lin and Zhang, Peng and Li, Rui;2024;10.1109/TGRS.2024.3466952;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Interactive Self-Attentive Siamese Network for Biomedical Sentence Similarity;Li, Zhengguang and Lin, Hongfei and Zheng, Wei and Tadesse, Michael M. and Yang, Zhihao and Wang, Jian;2020;10.1109/ACCESS.2020.2985685;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;A Comparative Assessment of Unsupervised Keyword Extraction Tools;Nadim, Mohammad and Akopian, David and Matamoros, Adolfo;2023;10.1109/ACCESS.2023.3344032;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;Information-Centric Mobile Networks: A Survey, Discussion, and Future Research Directions;Fayyaz, Sana and Atif Ur Rehman, Muhammad and Salah Ud Din, Muhammad and Biswas, Md. Israfil and Bashir, Ali Kashif and Kim, Byung-Seo;2023;10.1109/ACCESS.2023.3268775;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;IEEE Xplore;A Novel Shape Representation Method for Complex Trademark Image;Ye, Ben and Cai, Zhanchuan and Lan, Ting and Xiao, Youqing;2019;10.1109/ACCESS.2019.2912230;NOT_FOUND;NOT_FOUND
NOT_RELEVANT;ProQuest;Nanjing Yunjin intelligent question-answering system based on knowledge graphs and retrieval augmented generation technology;"Xu, Liang;Lu, Lu;Liu, Minglu;Song, Chengxuan;Wu, Lizhen";2024;10.1186/s40494-024-01231-3;NOT_FOUND;Nanjing Yunjin, a traditional Chinese silk weaving craft, is celebrated globally for its unique local characteristics and exquisite workmanship, forming an integral part of the world's intangible cultural heritage. However, with the advancement of information technology, the experiential knowledge of the Nanjing Yunjin production process is predominantly stored in text format. As a highly specialized and vertical domain, this information is not readily convert into usable data. Previous studies on a knowledge graph-based Nanjing Yunjin Question-Answering System have partially addressed this issue. However, knowledge graphs need to be constantly updated and rely on predefined entities and relationship types. Faced with ambiguous or complex natural language problems, knowledge graph information retrieval faces some challenges. Therefore, this study proposes a Nanjing Yunjin Question-Answering System that integrates Knowledge Graphs and Retrieval Augmented Generation techniques. In this system, the ROBERTA model is first utilized to vectorize Nanjing Yunjin textual information, delving deep into textual semantics to unveil its profound cultural connotations. Additionally, the FAISS vector database is employed for efficient storage and retrieval of Nanjing Yunjin information, achieving a deep semantic match between questions and answers. Ultimately, related retrieval results are fed into the Large Language Model for enhanced generation, aiming for more accurate text generation outcomes and improving the interpretability and logic of the Question-Answering System. This research merges technologies like text embedding, vectorized retrieval, and natural language generation, aiming to overcome the limitations of knowledge graphs-based Question-Answering System in terms of graph updating, dependency on predefined types, and semantic understanding. System implementation and testing have shown that the Nanjing Yunjin Intelligent Question-Answering System, constructed on the basis of Knowledge Graphs and Retrieval Augmented Generation, possesses a broader knowledge base that considers context, resolving issues of polysemy, vague language, and sentence ambiguity, and efficiently and accurately generates answers to natural language queries. This significantly facilitates the retrieval and utilization of Yunjin knowledge, providing a paradigm for constructing Question-Answering System for other intangible cultural heritages, and holds substantial theoretical and practical significance for the deep exploration and discovery of the knowledge structure of human intangible heritage, promoting cultural inheritance and protection.
